date,binary_mean,binary_squared_mean,binary_sqrt_mean,prob_mean,prob_squared_mean,prob_sqrt_mean
4/10/2020,0.454,0.637,0.384,0.287,0.49,0.206
4/11/2020,-0.217,0.208,-0.424,0.243,0.442,0.147
4/12/2020,0.49,0.791,0.262,0.36,0.491,0.26
4/13/2020,0.343,0.62,0.216,0.244,0.442,0.131
4/14/2020,0.689,0.891,0.526,0.587,0.729,0.474
4/15/2020,0.239,0.394,0.172,0.053,0.158,0.003
4/16/2020,-0.484,-0.203,-0.608,-0.472,-0.367,-0.51
4/17/2020,0.394,0.69,0.229,0.305,0.54,0.187
4/18/2020,0.617,0.824,0.479,0.376,0.531,0.284
4/20/2020,0.22,0.583,0.036,0.2,0.49,0.039
4/21/2020,0.755,0.908,0.609,0.552,0.644,0.46
4/22/2020,0.44,0.738,0.232,0.137,0.35,-0.011
4/23/2020,0.336,0.558,0.252,0.153,0.396,0.046
4/24/2020,0.227,0.43,0.141,0.185,0.356,0.111
4/25/2020,0.818,0.94,0.717,0.531,0.566,0.487
4/26/2020,0.454,0.628,0.342,0.324,0.415,0.247
4/27/2020,0.795,0.889,0.732,0.677,0.704,0.663
4/28/2020,0.367,0.476,0.336,0.223,0.25,0.217
4/29/2020,-0.257,-0.313,-0.279,-0.197,-0.21,-0.224
4/30/2020,0.76,0.869,0.685,0.63,0.68,0.597
5/1/2020,0.247,0.424,0.148,0.36,0.484,0.294
5/2/2020,0.474,0.676,0.373,0.429,0.564,0.363
5/3/2020,-0.6,-0.499,-0.656,-0.288,-0.221,-0.327
5/4/2020,0.331,0.485,0.277,0.245,0.393,0.186
5/5/2020,-0.075,0.286,-0.223,0.02,0.295,-0.098
5/6/2020,0.252,0.509,0.134,0.167,0.303,0.105
5/7/2020,0.55,0.711,0.487,0.461,0.566,0.405
5/8/2020,0.161,0.426,0.061,0.264,0.452,0.181
5/9/2020,0.022,0.095,0.002,0.101,0.165,0.073
5/10/2020,-0.137,0.09,-0.239,-0.187,-0.06,-0.242
5/11/2020,0.609,0.746,0.538,0.366,0.424,0.338
5/12/2020,0.452,0.482,0.433,0.233,0.223,0.234
5/13/2020,0.003,-0.175,0.057,-0.066,-0.202,-0.018
5/14/2020,0.19,0.429,0.085,0.189,0.37,0.112
5/15/2020,0.334,0.503,0.241,0.224,0.369,0.142
5/16/2020,0.515,0.711,0.414,0.293,0.441,0.207
5/17/2020,0.398,0.645,0.274,0.251,0.405,0.169
5/18/2020,-0.203,0.042,-0.306,-0.222,-0.069,-0.279
5/19/2020,0.236,0.344,0.2,0.13,0.252,0.091
5/20/2020,-0.11,0.19,-0.266,0.006,0.239,-0.118
5/21/2020,0.296,0.472,0.24,0.129,0.249,0.085
5/22/2020,-0.017,0.111,-0.064,0.04,0.162,-0.005
5/23/2020,0.338,0.615,0.193,0.173,0.425,0.042
5/24/2020,0.2,0.185,0.202,0.055,0.066,0.052
5/25/2020,0.326,0.649,0.154,0.276,0.457,0.179
5/26/2020,0.339,0.645,0.165,0.244,0.471,0.118
5/27/2020,0.307,0.303,0.306,0.241,0.217,0.25
5/28/2020,-0.267,0.013,-0.374,-0.086,0.125,-0.171
5/29/2020,0.306,0.587,0.17,0.214,0.414,0.122
5/30/2020,-0.174,0.142,-0.314,-0.044,0.189,-0.142
5/31/2020,0.06,0.395,-0.075,0.165,0.411,0.055
6/1/2020,0.677,0.784,0.6,0.438,0.491,0.396
6/2/2020,0.306,0.563,0.191,0.173,0.388,0.076
6/3/2020,0.109,0.349,0.001,0.116,0.298,0.038
6/4/2020,0.125,0.416,0.007,0.069,0.25,-0.0
6/5/2020,0.04,0.221,-0.022,0.048,0.149,0.011
6/6/2020,0.046,0.27,-0.042,0.103,0.278,0.028
6/7/2020,-0.321,-0.188,-0.404,-0.291,-0.239,-0.317
6/8/2020,0.144,0.28,0.073,0.189,0.279,0.139
6/9/2020,-0.236,-0.264,-0.25,-0.208,-0.225,-0.221
6/10/2020,-1.0,-1.0,-1.0,-0.582,-0.607,-0.563
6/11/2020,0.038,0.27,-0.048,0.079,0.249,0.013
6/12/2020,-0.205,0.038,-0.286,-0.185,0.022,-0.262
6/13/2020,0.227,0.473,0.069,0.295,0.469,0.187
6/14/2020,0.036,0.327,-0.118,0.206,0.357,0.117
6/15/2020,0.392,0.589,0.312,0.244,0.428,0.165
6/16/2020,0.655,0.727,0.624,0.456,0.574,0.395
6/17/2020,0.531,0.814,0.318,0.452,0.622,0.323
6/18/2020,0.063,0.417,-0.123,0.078,0.33,-0.055
6/19/2020,0.073,0.311,-0.025,0.05,0.205,-0.009
6/20/2020,0.04,0.222,-0.043,0.038,0.144,-0.004
6/21/2020,0.458,0.764,0.239,0.368,0.553,0.25
6/22/2020,0.988,0.996,0.979,0.812,0.819,0.804
6/23/2020,-0.055,0.056,-0.105,0.043,0.116,0.01
6/24/2020,0.308,0.457,0.285,0.209,0.36,0.155
6/25/2020,0.431,0.669,0.283,0.403,0.581,0.295
6/26/2020,0.551,0.761,0.425,0.419,0.588,0.326
6/27/2020,-0.169,-0.118,-0.177,-0.029,-0.006,-0.032
6/28/2020,-0.043,0.497,-0.303,0.051,0.448,-0.142
6/29/2020,0.618,0.762,0.532,0.462,0.58,0.399
6/30/2020,0.322,0.532,0.249,0.206,0.33,0.153
7/1/2020,-0.142,0.175,-0.286,-0.179,0.063,-0.278
7/2/2020,0.6,0.61,0.601,0.517,0.556,0.498
7/3/2020,0.141,0.468,-0.022,0.177,0.382,0.074
7/4/2020,0.596,0.744,0.56,0.306,0.419,0.273
7/5/2020,-0.016,0.171,-0.05,0.118,0.25,0.097
7/6/2020,-0.482,-0.636,-0.405,-0.443,-0.508,-0.413
7/7/2020,0.122,0.379,-0.023,0.074,0.249,-0.022
7/8/2020,-0.211,0.293,-0.413,-0.124,0.17,-0.24
7/9/2020,0.775,0.901,0.681,0.503,0.606,0.427
7/10/2020,0.681,0.918,0.47,0.362,0.558,0.213
7/11/2020,0.275,0.463,0.221,0.137,0.304,0.067
7/12/2020,-0.354,0.171,-0.58,-0.06,0.133,-0.152
