date,binary_mean,binary_squared_mean,binary_sqrt_mean,prob_mean,prob_squared_mean,prob_sqrt_mean
4/17/2020,0.348,0.643,0.173,-0.066,-0.016,-0.099
4/18/2020,-1.0,-1.0,-0.999,-0.383,-0.402,-0.37
4/19/2020,0.099,0.196,0.05,-0.012,0.03,-0.032
4/20/2020,0.825,0.951,0.718,0.332,0.27,0.335
4/21/2020,-0.304,-0.398,-0.253,0.011,-0.049,0.041
4/22/2020,0.207,0.076,0.271,0.148,0.047,0.199
4/23/2020,0.6,0.667,0.589,0.314,0.422,0.288
4/24/2020,-0.546,-0.784,-0.364,-0.217,-0.339,-0.122
4/25/2020,0.252,0.322,0.223,0.068,0.101,0.055
4/26/2020,-0.126,-0.229,-0.067,-0.238,-0.399,-0.138
4/27/2020,-1.0,-1.0,-0.999,-0.563,-0.591,-0.544
4/28/2020,0.085,0.411,-0.046,0.054,0.148,0.019
4/29/2020,-0.34,-0.589,-0.27,0.046,0.029,0.028
4/30/2020,0.338,0.43,0.293,-0.002,0.056,-0.03
5/1/2020,0.336,0.294,0.349,0.253,0.255,0.253
5/2/2020,0.421,0.387,0.434,0.202,0.152,0.224
5/3/2020,-0.187,-0.355,-0.138,-0.305,-0.469,-0.243
5/4/2020,-0.121,0.034,-0.188,-0.039,0.063,-0.077
5/5/2020,-0.255,0.079,-0.408,-0.088,0.063,-0.16
5/6/2020,0.041,0.09,0.019,0.181,0.219,0.164
5/7/2020,0.604,0.692,0.564,0.319,0.357,0.304
5/8/2020,0.489,0.642,0.437,0.377,0.447,0.356
5/9/2020,-0.212,-0.298,-0.176,-0.235,-0.282,-0.217
5/10/2020,-0.042,-0.082,-0.021,-0.15,-0.152,-0.145
5/11/2020,0.254,0.365,0.189,0.362,0.465,0.309
5/12/2020,0.178,0.21,0.182,-0.039,-0.007,-0.051
5/13/2020,-0.043,-0.136,0.01,0.063,0.048,0.079
5/14/2020,0.046,0.092,0.003,0.174,0.228,0.133
5/15/2020,0.12,0.184,0.089,0.035,0.066,0.02
5/16/2020,-0.529,-0.611,-0.506,-0.245,-0.354,-0.204
5/17/2020,0.071,0.08,0.072,0.018,-0.001,0.032
5/18/2020,0.047,-0.112,0.125,0.052,-0.023,0.088
5/19/2020,-0.19,0.068,-0.296,0.038,0.158,-0.012
5/20/2020,0.468,0.512,0.473,0.142,0.157,0.143
5/21/2020,0.166,0.22,0.167,0.126,0.11,0.135
5/22/2020,-0.002,0.199,-0.07,0.147,0.245,0.109
5/23/2020,0.088,0.382,-0.043,-0.15,-0.038,-0.207
5/24/2020,0.491,0.364,0.548,0.302,0.255,0.324
5/25/2020,-0.158,-0.307,-0.132,-0.061,-0.159,-0.022
5/26/2020,0.21,0.179,0.218,0.026,0.015,0.027
5/27/2020,-0.305,-0.229,-0.324,-0.024,-0.005,-0.027
5/28/2020,-0.23,-0.173,-0.264,-0.253,-0.206,-0.279
5/29/2020,0.119,0.295,0.039,0.01,0.104,-0.034
5/30/2020,0.488,0.646,0.408,0.181,0.206,0.172
5/31/2020,0.268,0.376,0.198,0.022,0.076,-0.01
6/1/2020,0.237,0.254,0.248,0.068,0.114,0.054
6/2/2020,-0.682,-0.746,-0.652,-0.321,-0.345,-0.31
6/3/2020,-0.278,-0.407,-0.222,-0.092,-0.144,-0.071
6/4/2020,-0.514,-0.363,-0.575,-0.141,-0.046,-0.182
6/5/2020,-0.293,-0.265,-0.311,-0.063,-0.048,-0.072
6/6/2020,-0.141,-0.205,-0.112,-0.197,-0.246,-0.174
6/7/2020,0.098,0.218,0.049,-0.157,-0.128,-0.173
6/8/2020,0.044,0.184,-0.032,0.113,0.192,0.068
6/9/2020,-0.102,-0.07,-0.128,0.024,0.071,-0.001
6/10/2020,-0.077,-0.095,-0.075,0.048,-0.009,0.067
6/11/2020,0.085,-0.052,0.145,0.045,-0.046,0.082
6/12/2020,-0.242,-0.35,-0.212,0.05,0.047,0.048
6/13/2020,-0.166,-0.243,-0.124,-0.196,-0.254,-0.165
6/14/2020,-0.288,-0.182,-0.335,-0.142,-0.099,-0.162
6/15/2020,0.112,0.198,0.06,0.1,0.094,0.104
6/16/2020,-0.198,-0.16,-0.216,0.011,0.005,0.012
6/17/2020,-0.47,-0.444,-0.473,-0.195,-0.183,-0.196
6/18/2020,-0.425,-0.419,-0.437,-0.256,-0.252,-0.263
6/19/2020,0.318,0.39,0.291,0.199,0.259,0.177
6/20/2020,0.455,0.531,0.419,0.12,0.146,0.107
6/21/2020,0.329,0.557,0.182,0.064,0.133,0.011
6/22/2020,0.043,0.127,0.017,0.086,0.1,0.078
