date,binary_mean,binary_squared_mean,binary_sqrt_mean,prob_mean,prob_squared_mean,prob_sqrt_mean
4/7/2020,0.091,0.085,0.058,0.124,0.182,0.073
4/8/2020,0.073,0.136,0.037,0.198,0.249,0.163
4/9/2020,0.243,0.306,0.25,0.236,0.297,0.218
4/10/2020,0.337,0.394,0.301,0.17,0.149,0.177
4/11/2020,0.126,0.125,0.111,0.159,0.151,0.147
4/12/2020,-0.028,-0.002,-0.054,0.023,0.057,0.0
4/13/2020,0.096,0.286,-0.018,0.15,0.275,0.076
4/14/2020,0.41,0.436,0.396,0.281,0.304,0.268
4/15/2020,0.082,0.023,0.087,0.06,0.093,0.035
4/16/2020,0.313,0.19,0.363,0.155,0.078,0.187
4/17/2020,-0.226,-0.022,-0.312,-0.21,-0.158,-0.227
4/18/2020,0.325,0.392,0.286,0.028,0.078,-0.004
4/19/2020,0.639,0.783,0.549,0.394,0.485,0.335
4/20/2020,-0.125,-0.053,-0.163,-0.071,-0.05,-0.082
4/21/2020,0.513,0.614,0.486,0.378,0.421,0.365
4/22/2020,0.565,0.722,0.476,0.475,0.552,0.431
4/23/2020,0.333,0.288,0.314,0.174,0.178,0.158
4/24/2020,0.225,0.288,0.214,0.122,0.125,0.121
4/25/2020,0.312,0.515,0.198,0.196,0.332,0.127
4/26/2020,0.311,0.341,0.304,0.239,0.302,0.215
4/27/2020,0.29,0.276,0.308,0.177,0.204,0.169
4/28/2020,0.216,0.236,0.207,0.09,0.09,0.091
4/29/2020,0.121,0.279,0.038,0.178,0.244,0.134
4/30/2020,0.195,0.137,0.194,0.283,0.306,0.257
5/1/2020,0.372,0.294,0.395,0.249,0.187,0.271
5/2/2020,0.098,0.151,0.079,0.096,0.139,0.08
5/3/2020,0.149,0.168,0.145,0.081,0.1,0.079
5/4/2020,0.443,0.447,0.44,0.235,0.223,0.238
5/5/2020,0.116,-0.071,0.199,0.07,-0.014,0.102
5/6/2020,-0.158,-0.25,-0.119,-0.064,-0.138,-0.031
