date,sentiment_mean,sentiment_squared_mean,sentiment_sqrt_mean,sentiment_with_prob
4/15/2020,0.057,0.018,0.083,[-1.901  2.901]
4/16/2020,0.533,0.559,0.537,[0.749 4.251]
4/17/2020,-0.368,-0.403,-0.351,[-1.209  0.209]
4/18/2020,-0.379,-0.256,-0.44,[-2.181  0.181]
4/19/2020,-0.33,-0.152,-0.417,[-1.913 -0.087]
4/20/2020,-0.531,-0.536,-0.531,[-17.632   1.632]
4/21/2020,-0.274,-0.183,-0.307,[-6.266  1.266]
4/22/2020,0.151,-0.069,0.224,[-1.584  4.584]
4/23/2020,0.512,0.602,0.471,[-0.903  6.903]
4/24/2020,-0.155,-0.154,-0.169,[-3.434  1.434]
4/25/2020,0.069,-0.053,0.133,[-0.64  1.64]
4/26/2020,0.747,0.733,0.76,[0.627 6.373]
4/27/2020,0.592,0.771,0.472,[-0.17  1.17]
4/28/2020,0.859,0.957,0.774,[0.131 3.869]
4/29/2020,-0.688,-0.845,-0.594,[-8.123  0.123]
4/30/2020,-0.095,0.059,-0.158,[-2.39  1.39]
5/1/2020,0.238,0.264,0.247,[-1.04  4.04]
5/2/2020,-0.081,-0.049,-0.101,[-7.825  4.825]
5/3/2020,-0.287,-0.193,-0.336,[-12.583   2.583]
5/4/2020,-0.205,-0.17,-0.215,[-6.71  2.71]
5/5/2020,0.067,0.112,0.036,[-6.459  6.459]
5/6/2020,-0.024,-0.132,0.035,[-3.909  5.909]
5/7/2020,-0.007,0.039,-0.036,[-12.78   9.78]
5/8/2020,-0.286,-0.167,-0.349,[-19.056   1.056]
5/9/2020,-0.088,-0.179,-0.043,[-4.924  4.924]
5/10/2020,-0.021,0.01,-0.017,[-4.47  4.47]
5/11/2020,0.155,0.178,0.147,[-3.972  7.972]
5/12/2020,-0.132,-0.121,-0.125,[-9.005  6.005]
5/13/2020,-0.225,0.023,-0.308,[-7.53  0.53]
5/14/2020,-0.094,-0.166,-0.067,[-5.812  4.812]
5/15/2020,0.184,0.323,0.14,[-8.08 12.08]
