date,binary_mean,binary_squared_mean,binary_sqrt_mean,prob_mean,prob_squared_mean,prob_sqrt_mean
4/21/2020,0.459,0.491,0.468,0.293,0.308,0.309
4/23/2020,-0.761,-0.879,-0.682,-0.147,-0.204,-0.109
4/24/2020,1.0,1.0,0.999,0.316,0.296,0.327
4/25/2020,0.382,0.667,0.198,0.397,0.593,0.27
4/26/2020,1.0,1.0,0.999,0.75,0.742,0.753
4/28/2020,-0.577,-0.805,-0.45,-0.317,-0.487,-0.228
4/29/2020,-0.846,-0.94,-0.767,-0.266,-0.264,-0.267
4/30/2020,-0.366,-0.399,-0.349,0.135,0.115,0.144
5/1/2020,-0.429,-0.471,-0.407,-0.107,-0.137,-0.091
5/2/2020,0.076,0.142,0.039,0.159,0.183,0.144
5/3/2020,-0.605,-0.67,-0.577,-0.468,-0.498,-0.447
5/4/2020,0.486,0.643,0.407,0.08,0.162,0.039
5/5/2020,0.736,0.866,0.634,0.487,0.582,0.425
5/6/2020,0.129,0.074,0.163,-0.002,-0.024,0.012
5/7/2020,0.625,0.601,0.632,0.386,0.369,0.392
5/8/2020,-0.237,-0.145,-0.285,-0.137,-0.079,-0.167
5/9/2020,-0.341,-0.246,-0.393,-0.05,-0.015,-0.07
5/10/2020,-0.266,-0.103,-0.315,-0.092,0.027,-0.129
5/11/2020,0.02,-0.067,0.038,-0.015,-0.027,-0.016
5/12/2020,-0.276,-0.277,-0.275,-0.159,-0.154,-0.162
5/13/2020,0.142,0.195,0.102,0.199,0.219,0.187
5/14/2020,0.462,0.439,0.495,0.365,0.402,0.361
5/15/2020,-0.185,-0.329,-0.098,-0.02,-0.12,0.031
5/16/2020,0.393,0.287,0.446,0.237,0.196,0.258
5/17/2020,-0.239,-0.25,-0.223,-0.123,-0.138,-0.115
5/18/2020,-0.034,-0.107,-0.013,0.165,0.111,0.186
5/19/2020,-0.132,-0.161,-0.115,-0.011,0.0,-0.008
5/20/2020,-0.795,-0.877,-0.753,-0.41,-0.462,-0.384
5/21/2020,0.324,0.369,0.299,0.329,0.363,0.311
5/22/2020,0.307,0.431,0.25,0.18,0.304,0.12
5/23/2020,0.52,0.669,0.43,0.125,0.207,0.074
5/24/2020,-1.0,-1.0,-0.999,-0.722,-0.748,-0.709
5/25/2020,-1.0,-1.0,-1.0,-0.508,-0.537,-0.488
5/26/2020,0.755,0.777,0.75,0.406,0.459,0.387
5/27/2020,0.68,0.748,0.627,0.389,0.422,0.373
5/28/2020,0.209,0.283,0.158,0.127,0.142,0.116
5/29/2020,-0.122,0.037,-0.173,0.068,0.229,0.005
5/30/2020,0.112,0.295,0.012,0.104,0.19,0.059
5/31/2020,1.0,1.0,0.999,0.576,0.585,0.572
6/1/2020,0.221,0.434,0.11,0.4,0.466,0.363
6/2/2020,1.0,1.0,1.0,0.642,0.668,0.627
6/3/2020,-0.319,-0.222,-0.373,-0.127,-0.092,-0.146
6/4/2020,-0.284,-0.101,-0.372,-0.147,-0.088,-0.176
6/5/2020,0.549,0.727,0.444,0.302,0.428,0.23
6/6/2020,-0.367,-0.425,-0.302,-0.144,-0.196,-0.094
6/7/2020,-0.261,-0.4,-0.182,-0.123,-0.216,-0.076
6/8/2020,0.432,0.588,0.338,0.139,0.21,0.1
6/9/2020,0.025,0.144,-0.028,-0.083,-0.036,-0.103
6/10/2020,0.618,0.77,0.528,0.374,0.459,0.323
6/11/2020,0.405,0.468,0.372,0.21,0.262,0.18
6/12/2020,-0.302,-0.5,-0.166,-0.232,-0.346,-0.161
6/13/2020,0.036,0.054,0.023,-0.073,-0.078,-0.078
6/14/2020,-0.205,-0.291,-0.17,0.016,-0.031,0.038
6/15/2020,-0.396,-0.446,-0.343,-0.076,-0.113,-0.044
6/16/2020,-0.517,-0.529,-0.509,-0.129,-0.152,-0.117
6/17/2020,0.357,0.607,0.23,0.192,0.286,0.153
6/18/2020,-0.242,-0.354,-0.154,-0.11,-0.153,-0.066
6/19/2020,-0.05,-0.156,-0.019,0.103,0.055,0.12
6/20/2020,-0.085,-0.228,-0.03,0.043,-0.04,0.073
6/21/2020,0.585,0.569,0.593,0.273,0.313,0.256
6/22/2020,-0.195,-0.223,-0.192,-0.04,-0.063,-0.034
6/23/2020,-0.151,0.036,-0.19,-0.157,-0.14,-0.155
6/24/2020,0.401,0.506,0.359,0.137,0.146,0.152
6/25/2020,0.176,0.351,0.07,0.134,0.181,0.106
6/26/2020,0.494,0.638,0.415,0.289,0.356,0.254
6/27/2020,0.412,0.332,0.456,0.337,0.287,0.363
6/28/2020,0.57,0.566,0.581,0.383,0.427,0.372
6/29/2020,0.281,0.308,0.244,0.067,0.062,0.06
6/30/2020,0.013,0.01,0.008,-0.157,-0.157,-0.159
7/1/2020,0.894,0.946,0.86,0.518,0.532,0.513
7/2/2020,0.003,-0.368,0.114,0.021,-0.129,0.07
7/3/2020,-0.088,0.074,-0.186,0.132,0.236,0.074
7/4/2020,-0.448,-0.544,-0.383,-0.279,-0.335,-0.244
